date,home_team,away_team,home_score,away_score,result
2025-04-18,00 1660 ΙΦΚ Σκβντε Ρζενγκαρντ 3.20 3.40 1.90,1 - 2 2,1,1,draw
2025-04-18,00 1661 ΙΦΚ Χνινγκε Κρλσταντ ΒΚ 2.30 3.45 2.45,2 - 1 1,1,0,home
2025-04-18,00 1662 Χσλεχολμ ΙΦ Τρολχταν 2.18 3.20 2.75,0 - 2 2,0,1,away
2025-04-18,15 - Ταμπρ Τργκλαβ,2 - 0 1,0,0,draw
2025-04-18,15 1596 Πουλ Τουν Σουντον Σουπερμαρν 2.10 3.60 2.65,4 - 0 1,1,0,home
2025-04-18,15 1649 Αλ Κχαλιντγια Στρα 1.48 3.70 5.35,3 - 2 1,1,2,away
2025-04-18,25 - Αλ Γιαρμοκ Κουβιτ Κζμα,3 - 2 1,1,1,draw
2025-04-18,30 - Σλουτσκ Σλβια Μοζρ,1 - 2 2,1,1,draw
2025-04-18,30 - Ζελζνιτσαρ Μπνια Λοκα Σλμποντα Νβι Γκραντ,1 - 0 1,1,0,home
2025-04-18,30 - Σαμορν Ζλτε Μορφτσε,0 - 2 2,0,1,away
2025-04-18,30 824 Ρο βε Σντα Κλρα 3.05 3.00 2.37,1 - 1 X,1,0,home
2025-04-18,30 825 Φαρνσε Μποαβστα 1.81 3.35 4.35,0 - 1 2,0,0,draw
2025-04-18,30 1640 Περσπολις Σεπαχν 2.60 2.70 2.80,0 - 2 2,0,2,away
2025-04-18,30 1675 Μγκρα Σαορα 2.17 2.95 3.00,2 - 0 1,0,0,draw
2025-04-18,30 1676 ΒΚΜΑ Γιερεβν Σιρκ,3 - 2 1,0,0,draw
2025-04-18,00 - Γιντραν Ντεκνι ΝΝ Γκριτσα,2 - 4 2,1,0,home
2025-04-18,00 - Τλμιν Μπελτντσι,0 - 2 2,0,1,away
2025-04-18,00 - Ποχρνιε Πετρζλκα,2 - 5 2,1,2,away
2025-04-18,00 826 Ντιναμ Κιβου μπολον Κιβου 1.21 5.50 10.75,3 - 0 1,1,0,home
2025-04-18,00 1525 Αρζ Τουρν Τοβοζ,1 - 1 X,0,1,away
2025-04-18,00 1603 Κεντσλα Παραντο 1.85 3.05 3.70,2 - 2 X,2,1,home
2025-04-18,00 1677 Γιμπλονετς Β Ιμπερατρζ,3 - 3 X,1,1,draw
2025-04-18,15 - Κζιλκουμ Κκαντ 1912,1 - 0 1,0,0,draw
2025-04-18,30 - Ατλτικο Μαδρτης Γ Γκραν. Τενερφη Γ,2 - 0 1,2,0,home
2025-04-18,30 - Γιουβντους Γ Μλαν Γ,2 - 0 1,1,0,home
2025-04-18,30 1604 Αλ Γκαρφα Αλ Σχαχανγια 1.97 3.65 2.90,1 - 2 2,1,2,away
2025-04-18,30 1605 Αλ Ραγιν Κατρ ΣΚ 1.44 4.35 5.00,2 - 0 1,0,0,draw
2025-04-18,30 1606 Αλ Σαμλ Αλ Βκρα 2.08 3.55 2.75,1 - 0 1,0,0,draw
2025-04-18,30 1607 Αλ Σαντ Αλ Αχλ Ντχα 1.15 6.85 9.75,5 - 0 1,3,0,home
2025-04-18,30 1608 Αλ Κχορ Αλ Ντουχαλ 6.50 5.25 1.28,0 - 1 2,0,0,draw
2025-04-18,30 1609 Ουμ Σαλλ Αλ Αρμπι Ντχα 3.50 3.65 1.77,2 - 0 1,1,0,home
2025-04-18,00 - Τσεζνα U20 Μπολνια U20,1 - 0 1,0,0,draw
2025-04-18,00 - Γκοσκ Γκαμπλα Σλγκα Ντμπο,1 - 2 2,0,0,draw
2025-04-18,00 - Παραντσο Γιονγκ Μπις ΙΙ,1 - 1 X,0,0,draw
2025-04-18,00 - Κορεκαμνος ΙΙ Λμπος ULMX,0 - 0 X,0,0,draw
2025-04-18,00 827 Αοστρια Λουστενου Λφερινγκ 2.40 3.20 2.67,1 - 2 2,0,2,away
2025-04-18,00 828 Κπφενμπεργκ μστετεν 2.45 3.35 2.52,3 - 2 1,2,1,home
2025-04-18,00 829 Λαφντζ Βιτσμπεργκ 3.40 3.65 1.87,1 - 3 2,1,1,draw
2025-04-18,00 830 Σεντ Πλτεν Ριντ 2.77 3.15 2.35,1 - 2 2,0,1,away
2025-04-18,00 832 Φλοριντσντρφερ Ραπντ Βιννης ΙΙ 1.92 3.35 3.50,2 - 0 1,1,0,home
